django,1.3.1
django-tagging,0.3.1
south,0.7.3
coverage,3.5.1
protobuf,2.4.1
pyasn1,0.1.2
pysnmp,4.2.1
python-creole,0.2.4
docutils,0.7
Pygments,1.2.2
Jinja2,2.2.1
Sphinx,1.0.7
mongoengine,0.5
tornado,2.2
