type,name,res_id,src,value,fuzzy
error,calendar.event,0,    * ,    *,0
error,calendar.event,0,:,:,0
error,calendar.event,0,Cancelled Event: %s @ %s,Événement annulé : %s @ %s,0
error,calendar.event,0,Invitation: %s @ %s,Invitation: %s @ %s,0
error,calendar.event,0,(No Subject),(Pas de sujet),0
error,calendar.event,0,"This event has been canceled.

","Cet événement a été annulé.

",0
error,calendar.event,0,"This event has been changed.

","Cet événement a été modifié.

",0
error,calendar.event,0,Updated Invitation: %s @ %s,Invitation mise à jour : %s @ %s,0
error,calendar.event,0,When,Quand,0
error,calendar.event,0,"You have been invited to the following event.

","Vous avez été invité à l'événement suivant.

",0
error,calendar.event.attendee,0,    * ,    *,0
error,calendar.event.attendee,0,:,:,0
error,calendar.event.attendee,0,(No Subject),(Pas de sujet),0
error,calendar.event.attendee,0,"%s (%s) changed his/her participation status to: %s

","%s (%s) a un nouveau statut de participation : %s
",0
error,calendar.event.attendee,0,"%s (%s) has accepted this invitation:

","%s (%s) a accepté l'invitation suivante :
",0
error,calendar.event.attendee,0,"%s (%s) has declined this invitattion:

","%s (%s) a décliné l'invitation suivante :
",0
error,calendar.event.attendee,0,%s: %s @ %s,%s: %s @ %s,0
error,calendar.event.attendee,0,When,Quand,0
field,"calendar.attendee,schedule_agent",0,Schedule Agent,Agent de planification,0
field,"calendar.attendee,schedule_status",0,Schedule Status,Statut de planification,0
field,"calendar.event,organizer_schedule_agent",0,Schedule Agent,Agent de planification,0
field,"calendar.event,organizer_schedule_status",0,Schedule Status,Statut de planification,0
field,"res.user,calendar_email_notification_cancel",0,Cancelled invitations,Invitations annulées,0
field,"res.user,calendar_email_notification_new",0,New invitations,Nouvelles invitations,0
field,"res.user,calendar_email_notification_partstat",0,Invitation Replies,Réponses aux invitations,0
field,"res.user,calendar_email_notification_update",0,Changed invitations,Modification des invitations,0
selection,"calendar.attendee,schedule_agent",0,,,0
selection,"calendar.attendee,schedule_agent",0,Client,Client,0
selection,"calendar.attendee,schedule_agent",0,None,Aucun,0
selection,"calendar.attendee,schedule_agent",0,Server,Serveur,0
selection,"calendar.attendee,schedule_status",0,,,0
selection,"calendar.attendee,schedule_status",0,1.0,1.0,0
selection,"calendar.attendee,schedule_status",0,1.1,1.1,0
selection,"calendar.attendee,schedule_status",0,1.2,1.2,0
selection,"calendar.attendee,schedule_status",0,3.7,3.7,0
selection,"calendar.attendee,schedule_status",0,3.8,3.8,0
selection,"calendar.attendee,schedule_status",0,5.1,5.1,0
selection,"calendar.attendee,schedule_status",0,5.2,5.1,0
selection,"calendar.attendee,schedule_status",0,5.3,5.3,0
selection,"calendar.event,organizer_schedule_agent",0,,,0
selection,"calendar.event,organizer_schedule_agent",0,Client,Client,0
selection,"calendar.event,organizer_schedule_agent",0,None,Aucun,0
selection,"calendar.event,organizer_schedule_agent",0,Server,Serveur,0
selection,"calendar.event,organizer_schedule_status",0,,,0
selection,"calendar.event,organizer_schedule_status",0,1.0,1.0,0
selection,"calendar.event,organizer_schedule_status",0,1.1,1.1,0
selection,"calendar.event,organizer_schedule_status",0,1.2,1.2,0
selection,"calendar.event,organizer_schedule_status",0,3.7,3.7,0
selection,"calendar.event,organizer_schedule_status",0,3.8,3.8,0
selection,"calendar.event,organizer_schedule_status",0,5.1,5.1,0
selection,"calendar.event,organizer_schedule_status",0,5.2,5.1,0
selection,"calendar.event,organizer_schedule_status",0,5.3,5.3,0
view,res.user,0,Calendar Email Notifications,Notifications calendrier par Email,0
view,res.user,0,Notifications,Avertissements,0
