type,name,res_id,src,value,fuzzy
error,calendar.event,0,    * ,,0
error,calendar.event,0,(No Subject),(Нет описания),0
error,calendar.event,0,:,,0
error,calendar.event,0,Cancelled Event: %s @ %s,Событие отмененно: %s @ %s,0
error,calendar.event,0,Invitation: %s @ %s,Приглашение: %s @ %s,0
error,calendar.event,0,"This event has been canceled.

",,0
error,calendar.event,0,"This event has been changed.

",,0
error,calendar.event,0,Updated Invitation: %s @ %s,,0
error,calendar.event,0,When,Когда,0
error,calendar.event,0,"You have been invited to the following event.

",,0
error,calendar.event.attendee,0,    * ,,0
error,calendar.event.attendee,0,"%s (%s) changed his/her participation status to: %s

",,0
error,calendar.event.attendee,0,"%s (%s) has accepted this invitation:

",,0
error,calendar.event.attendee,0,"%s (%s) has declined this invitattion:

",,0
error,calendar.event.attendee,0,%s: %s @ %s,,0
error,calendar.event.attendee,0,(No Subject),(Нет описания),0
error,calendar.event.attendee,0,:,,0
error,calendar.event.attendee,0,When,Когда,0
field,"calendar.attendee,schedule_agent",0,Schedule Agent,Расписание агента,0
field,"calendar.attendee,schedule_status",0,Schedule Status,Статус расписания,0
field,"calendar.event,organizer_schedule_agent",0,Schedule Agent,Расписание агента,0
field,"calendar.event,organizer_schedule_status",0,Schedule Status,Статус расписания,0
field,"res.user,calendar_email_notification_cancel",0,Cancelled invitations,Отменено приглашения,0
field,"res.user,calendar_email_notification_new",0,New invitations,Новые приглашения,0
field,"res.user,calendar_email_notification_partstat",0,Invitation Replies,Ответы на приглашения,0
field,"res.user,calendar_email_notification_update",0,Changed invitations,Изменен приглашения,0
selection,"calendar.attendee,schedule_agent",0,,,0
selection,"calendar.attendee,schedule_agent",0,Client,Клиент,0
selection,"calendar.attendee,schedule_agent",0,None,Отсутствует,0
selection,"calendar.attendee,schedule_agent",0,Server,Сервер,0
selection,"calendar.attendee,schedule_status",0,,,0
selection,"calendar.attendee,schedule_status",0,1.0,,0
selection,"calendar.attendee,schedule_status",0,1.1,,0
selection,"calendar.attendee,schedule_status",0,1.2,,0
selection,"calendar.attendee,schedule_status",0,3.7,,0
selection,"calendar.attendee,schedule_status",0,3.8,,0
selection,"calendar.attendee,schedule_status",0,5.1,,0
selection,"calendar.attendee,schedule_status",0,5.2,,0
selection,"calendar.attendee,schedule_status",0,5.3,,0
selection,"calendar.event,organizer_schedule_agent",0,,,0
selection,"calendar.event,organizer_schedule_agent",0,Client,Клиент,0
selection,"calendar.event,organizer_schedule_agent",0,None,Отсутствует,0
selection,"calendar.event,organizer_schedule_agent",0,Server,Сервер,0
selection,"calendar.event,organizer_schedule_status",0,,,0
selection,"calendar.event,organizer_schedule_status",0,1.0,,0
selection,"calendar.event,organizer_schedule_status",0,1.1,,0
selection,"calendar.event,organizer_schedule_status",0,1.2,,0
selection,"calendar.event,organizer_schedule_status",0,3.7,,0
selection,"calendar.event,organizer_schedule_status",0,3.8,,0
selection,"calendar.event,organizer_schedule_status",0,5.1,,0
selection,"calendar.event,organizer_schedule_status",0,5.2,,0
selection,"calendar.event,organizer_schedule_status",0,5.3,,0
view,res.user,0,Calendar Email Notifications,Уведомление по почте,0
view,res.user,0,Notifications,Уведомления,0
